scenario,arm,day,eligible_mean,eligible_ci,delivered_mean,delivered_ci,n,cross_rate,tie_rate,threshold_med,oracle_med,tracking_ratio_med,observed_mssd_med,n_eval
shift_down,expanding,28,0.14733333333333334,0.025293000760109374,0.07266666666666667,0.015635006976483755,1500,0.039240056818181816,0.08931107954545454,1.0,0.6666666666666666,1.5142860018767028,0.3333333333333333,5632
shift_down,expanding,29,0.182,0.028135027058189294,0.09333333333333334,0.018061362229192083,1500,0.048723897911832945,0.0933428520435481,1.0,0.6666666666666666,1.5,0.3333333333333333,5603
shift_down,expanding,30,0.146,0.02571459544243439,0.07333333333333333,0.016111506782552645,1500,0.03896103896103896,0.09446717665895749,1.0,0.6666666666666666,1.5,0.3333333333333333,5621
shift_down,expanding,31,0.17866666666666667,0.029752515232440192,0.07666666666666666,0.016335294523128874,1500,0.04736749427716147,0.09508716323296355,1.0,0.6666666666666666,1.5,0.3333333333333333,5679
shift_down,expanding,32,0.20266666666666666,0.03083181015127173,0.10333333333333333,0.019518472498138487,1500,0.05379358682319958,0.09409497108813737,1.0,0.6666666666666666,1.5,0.3333333333333333,5707
shift_down,expanding,33,0.17333333333333334,0.027818055364894536,0.09333333333333334,0.018435860161268577,1500,0.04620579349564599,0.09543273502754576,1.0,0.6666666666666666,1.5,0.3333333333333333,5627
shift_down,expanding,34,0.22866666666666666,0.033339244312907246,0.116,0.021310821166181333,1500,0.06002442854650148,0.10190193683475833,1.0,0.6666666666666666,1.5,0.3333333333333333,5731
shift_down,rolling,0,0.242,0.02168191016844153,0.12,0.016450807255965136,1500,0.3911637931034483,0.11530172413793104,0.8666666666666667,1.142374460701841,0.6091267372963316,0.6666666666666666,928
shift_down,rolling,1,0.9153333333333333,0.05970250074280623,0.4633333333333333,0.03786049538326684,1500,0.2696126143663617,0.15203426124197003,1.0,1.1365717999508818,0.7577771521269608,0.6666666666666666,5137
shift_down,rolling,2,0.87,0.059579358058008666,0.41733333333333333,0.03680252091155049,1500,0.23565170749150724,0.11371357053459681,1.0,1.139106658855358,0.9200000000000003,0.6666666666666666,5593
shift_down,rolling,3,0.73,0.054955069848227574,0.36466666666666664,0.03520760755656285,1500,0.19713518352730527,0.11638316920322292,1.0,1.1148644381551647,0.9666666666666671,0.6666666666666666,5585
